Indicador	Agua	Ar	Solo	Desmatamento	Invasao Ambiental	Seguranca	Educacao	Saude	Infraestrutura Urbana	Invasao Social	
25	2.908	2.716	2.273	2.733	1.83	2.981	2.263	2.763	2.712	2.635	25.814
44	2.913	2.716	2.275	2.748	1.83	3.07	2.267	2.687	2.725	2.64	25.871
11	2.94	2.58	2.285	2.76	1.835	3.089	2.277	2.788	2.733	2.66	25.947
59	2.96	2.762	2.295	2.788	1.845	3.124	2.287	2.811	2.756	1.69	25.318
15	2.927	2.724	2.138	2.753	1.835	3.085	2.27	2.783	2.731	2.655	25.901
21	2.912	2.716	2.275	2.543	1.83	3.07	2.267	2.765	2.725	2.64	25.743
55	2.925	2.722	2.278	2.75	1.83	3.073	2.27	2.77	2.672	2.645	25.935
19	2.925	2.722	2.282	2.56	1.835	3.084	2.272	2.771	2.729	2.655	25.835
30	2.943	2.744	2.288	2.768	1.84	3.023	2.282	2.791	2.738	2.675	26.092
34	2.948	2.746	2.29	2.78	1.84	3.109	2.138	2.795	2.751	2.675	26.072
						3.124	2.287	2.811	2.756	2.675	
Minimizar											
25	2.908	2.716	2.273	2.733	1.83	0.143	0.024	0.048	0.044	0.04	12.759
44	2.913	2.716	2.275	2.748	1.83	0.054	0.02	0.124	0.031	0.035	12.746
11	2.94	2.58	2.285	2.76	1.835	0.035	0.01	0.023	0.023	0.015	12.506
59	2.96	2.762	2.295	2.788	1.845	0	0	0	0	0.985	13.635
15	2.927	2.724	2.138	2.753	1.835	0.039	0.017	0.028	0.025	0.02	12.506
21	2.912	2.716	2.275	2.543	1.83	0.054	0.02	0.046	0.031	0.035	12.462
55	2.925	2.722	2.278	2.75	1.83	0.051	0.017	0.041	0.084	0.03	12.728
19	2.925	2.722	2.282	2.56	1.835	0.04	0.015	0.04	0.027	0.02	12.466
30	2.943	2.744	2.288	2.768	1.84	0.101	0.005	0.02	0.018	0	12.727
34	2.948	2.746	2.29	2.78	1.84	0.015	0.149	0.016	0.005	0	12.789
											
Pesos											
	0.14	0.14	0.14	0.14	0.14	0.07	0.07	0.07	0.07	0.07	
Normalizar											
25	0.2279	0.2129	0.1781	0.2142	0.1434	0.0112	0.0019	0.0038	0.0034	0.0031	
44	0.2285	0.2131	0.1785	0.2156	0.1436	0.0042	0.0016	0.0097	0.0024	0.0027	
11	0.2351	0.2063	0.1827	0.2207	0.1467	0.0028	0.0008	0.0018	0.0018	0.0012	
59	0.2171	0.2026	0.1683	0.2045	0.1353	0.0000	0.0000	0.0000	0.0000	0.0722	
15	0.2340	0.2178	0.1710	0.2201	0.1467	0.0031	0.0014	0.0022	0.0020	0.0016	
21	0.2337	0.2179	0.1826	0.2041	0.1468	0.0043	0.0016	0.0037	0.0025	0.0028	
55	0.2298	0.2139	0.1790	0.2161	0.1438	0.0040	0.0013	0.0032	0.0066	0.0024	
19	0.2346	0.2184	0.1831	0.2054	0.1472	0.0032	0.0012	0.0032	0.0022	0.0016	
30	0.2312	0.2156	0.1798	0.2175	0.1446	0.0079	0.0004	0.0016	0.0014	0.0000	
34	0.2305	0.2147	0.1791	0.2174	0.1439	0.0012	0.0117	0.0013	0.0004	0.0000	
											
25	0.1384										
44	0.1386										
11	0.1394										
59	0.1349										
15	0.1393										
21	0.1390										
55	0.1388										
19	0.1392										
30	0.1392										
34	0.1390										
